canonical_hobby,merged_group
museum day trips,museum day trips
Gardening heirloom vegetables and herbs,Gardening heirloom vegetables and herbs
hiking Pololu Valley trails,hiking Pololu Valley trails
Market trend monitoring,Market trend monitoring
Animated mobiles,Animated mobiles
Streaming sci‑fi series,Streaming sci‑fi series
Hiking in Kern County trails,"Hiking in Kern County trails, Hiking on Kern River trails"
collecting baseball cards,"collecting baseball cards, Collecting sports/trading cards, Collecting Baseball Cards"
Volunteering at community media workshops,Volunteering at community media workshops
Hiking (Natchez Trace State Park),"Hiking (Natchez Trace State Park), Hiking on the Natchez Trace Trail"
Singing karaoke and performing at community events,"Singing karaoke and performing at community events, Karaoke and community theater"
Language workshops (Telugu),Language workshops (Telugu)
Baking and recipe experimentation,"Baking and recipe experimentation, baking and recipe experimentation"
Playing the organ,Playing the organ
Small‑group Bible study and church volunteering,"Small‑group Bible study and church volunteering, Church small-group bible study, Small Bible study groups"
Book club member,Book club member
Patio gardening,"Patio gardening, Patio vegetable gardening"
Greenhouse Gardening,Greenhouse Gardening
Swing and salsa dancing,"Swing and salsa dancing, Swing dancing"
Learning new crafts such as watercolor painting,Learning new crafts such as watercolor painting
drawing and sharing artwork,drawing and sharing artwork
Exploring new restaurants and food trends,Exploring new restaurants and food trends
Cooking and preserving,"Cooking and preserving, Traditional cooking and recipe preservation"
Looking at high‑contrast patterns,Looking at high‑contrast patterns
Weekend hackathons,Weekend hackathons
Volunteering at the Midvale Community Arts Center,Volunteering at the Midvale Community Arts Center
Hiking (Palo Duro Canyon and local trails),Hiking (Palo Duro Canyon and local trails)
Soccer (small-sided games),Soccer (small-sided games)
pretend doctor play,pretend doctor play
Gardening in his backyard,Gardening in his backyard
Hiking in the Santa Cruz Mountains,"Hiking in the Santa Cruz Mountains, Hiking in Santa Cruz Mountains"
Blood‑drive assistance,Blood‑drive assistance
Basketball (street and organized),Basketball (street and organized)
Korean calligraphy,"Korean calligraphy, Practicing Korean calligraphy"
Running along Onondaga Creek Trail,Running along Onondaga Creek Trail
reading design and engineering journals,reading design and engineering journals
Fishing trips on the Nueces River,Fishing trips on the Nueces River
creative coding,"creative coding, Creative coding projects"
Hiking in Oklahoma state parks,Hiking in Oklahoma state parks
Attending seasonal farmer’s markets,"Attending seasonal farmer’s markets, Visiting farmer’s markets, Visiting farmer markets"
Reading Educational Theory,Reading Educational Theory
Taking family road trips across the Midwest,Taking family road trips across the Midwest
Church volunteer work and event coordination,Church volunteer work and event coordination
Volunteer set lighting for community theater,Volunteer set lighting for community theater
day trips,day trips
Bridge (competitive),Bridge (competitive)
Ice skating (solo),"Ice skating (solo), Ice Skating"
sticker collecting and album organization,sticker collecting and album organization
Travel planning to heritage sites in Mexico,"Travel planning to heritage sites in Mexico, Traveling to explore Mexican heritage sites"
Gardening native Mexican herbs,Gardening native Mexican herbs
Cooking Nigerian and Caribbean Cuisine,Cooking Nigerian and Caribbean Cuisine
"Listening to music (boleros, Latin pop)","Listening to music (boleros, Latin pop)"
Skiing,"Skiing, skiing"
Observing small groups of children,Observing small groups of children
Baking and sharing treats,Baking and sharing treats
BBQ cook‑outs with friends,BBQ cook‑outs with friends
"listening to soothing music (lullabies, jazz instrumentals)","listening to soothing music (lullabies, jazz instrumentals)"
Playing Mahjong with friends,"Playing Mahjong with friends, Playing mahjong with a social club, Playing mahjong with friends"
Classic car restoration (1965 Ford Mustang),Classic car restoration (1965 Ford Mustang)
Historic preservation tours,Historic preservation tours
Blogging about local murals,Blogging about local murals
traditional dancing,"traditional dancing, Dancing (traditional and modern)"
"Red Light, Green Light","Red Light, Green Light"
Drone Aerial Imaging,"Drone Aerial Imaging, Drone Photography"
"Cooking traditional Salvadoran dishes (pupusas, tamales)","Cooking traditional Salvadoran dishes (pupusas, tamales)"
Cooking with fresh produce,Cooking with fresh produce
"Reading (self‑improvement, local history)","Reading (self‑improvement, local history)"
DIY home repairs,"DIY home repairs, DIY Home Repairs, Home repair projects"
Live music and dance events,Live music and dance events
Coastal Jogging,"Coastal Jogging, Beach jogging"
"Photography (airports, cityscapes, candid portraits)","Photography (airports, cityscapes, candid portraits)"
Experimenting with seasonal recipes,Experimenting with seasonal recipes
Photography of Architectural Details,"Photography of Architectural Details, Photography of historic architecture"
Reading science‑fiction and astronomy books,"Reading science‑fiction and astronomy books, Reading science and space books"
Playing bridge and participating in trivia nights,"Playing bridge and participating in trivia nights, Bridge and trivia nights"
Using social media to stay connected and organize events,Using social media to stay connected and organize events
Bass Fishing,Bass Fishing
Board member for local nonprofit,Board member for local nonprofit
singing along to Dominican songs,singing along to Dominican songs
Attending small cultural festivals and tea gatherings,Attending small cultural festivals and tea gatherings
preschool art circle,preschool art circle
beat‑making,beat‑making
"Volunteer work (disaster relief, community clean‑ups)","Volunteer work (disaster relief, community clean‑ups)"
Listening to cumbia and regional Mexican music,Listening to cumbia and regional Mexican music
Bicycle riding on trails,"Bicycle riding on trails, Cycling on regional trails, Biking nature trails"
"Woodworking small projects (birdhouses, carved spoons)","Woodworking small projects (birdhouses, carved spoons)"
Book club participation and discussion facilitation,"Book club participation and discussion facilitation, leading book club discussions"
Korean language practice,Korean language practice
storytelling evenings,"storytelling evenings, Storytelling evenings"
group games,"group games, structured group games with friends"
Small‑group chess club,Small‑group chess club
Watching eSports tournaments,Watching eSports tournaments
Video gaming (strategy and sandbox),"Video gaming (strategy and sandbox), sandbox video games"
Community potluck and picnics,Community potluck and picnics
Watching Seahawks Football,Watching Seahawks Football
watching animated shorts,watching animated shorts
Following sustainable farming trends,"Following sustainable farming trends, Exploring sustainable farming practices"
"Cooking Spanish dishes (paella, tortilla española)","Cooking Spanish dishes (paella, tortilla española), Cooking traditional Spanish dishes (paella, gazpacho)"
Volunteer work at the Custer County Historical Society,Volunteer work at the Custer County Historical Society
watercolor painting and scribbling,"watercolor painting and scribbling, Coloring and scribbling"
Digital art and VR experiments,Digital art and VR experiments
"Seniors card‑game club (e.g., canasta, bridge)","Seniors card‑game club (e.g., canasta, bridge)"
stacking wooden blocks,"stacking wooden blocks, Stacking wooden blocks"
Caring for family dog,"Caring for family dog, Caring for family pets"
Walking with friends,Walking with friends
reading economics and technology non‑fiction,reading economics and technology non‑fiction
"Model kit building (RC drones, vintage radios)","Model kit building (RC drones, vintage radios)"
Community youth mentorship in construction,Community youth mentorship in construction
Collecting Vintage Maps,Collecting Vintage Maps
cooking and recipe sharing,cooking and recipe sharing
Ceramics,Ceramics
Book club attendance,"Book club attendance, book club attendance"
Set Design,Set Design
Creative writing (speculative fiction),"Creative writing (speculative fiction), Creative Writing (Speculative Fiction), Creative writing (short speculative fiction)"
Volunteering with church community clean‑up programs,Volunteering with church community clean‑up programs
Digital photography of seasonal landscapes,Digital photography of seasonal landscapes
Listening to mariachi and regional Mexican music during walks,Listening to mariachi and regional Mexican music during walks
DIY home décor and upcycling,DIY home décor and upcycling
reading board books,reading board books
Exploring Brooklyn murals,Exploring Brooklyn murals
Playing violin in a community orchestra,Playing violin in a community orchestra
Senior golf,Senior golf
team sports,team sports
Gardening (especially bonsai and vegetable patches),Gardening (especially bonsai and vegetable patches)
Mentoring high‑school coders,Mentoring high‑school coders
Storytime,Storytime
Listening to neuroscience podcasts,"Listening to neuroscience podcasts, Listening to healthcare and neuroscience podcasts"
Attending church,Attending church
Joining informal music jam sessions,"Joining informal music jam sessions, Participating in folk‑music jam sessions"
dancing to rhythmic music,"dancing to rhythmic music, Dancing to rhythmic music, Dancing or moving to rhythm"
Hiking in Catoctin Mountain Park,"Hiking in Catoctin Mountain Park, Hiking on the Catoctin Mountains"
Reading scientific journals on dental and optical technology,Reading scientific journals on dental and optical technology
Target shooting,"Target shooting, target shooting"
pretend animal care,pretend animal care
"Strategy video gaming (e.g., real-time strategy, MOBAs)","Strategy video gaming (e.g., real-time strategy, MOBAs)"
Listening to indie rock and Portuguese fado,Listening to indie rock and Portuguese fado
"Playing board games (Candy Land, Chutes & Ladders)","Playing board games (Candy Land, Chutes & Ladders)"
Solo travel to historic sites,Solo travel to historic sites
"Card games (bridge, spades)","Card games (bridge, spades)"
Drawing graffiti‑style art,Drawing graffiti‑style art
Traveling to regional cultural events,Traveling to regional cultural events
participating in preschool group activities,participating in preschool group activities
Community park clean-up,Community park clean-up
historical nonfiction,historical nonfiction
Mechanical puzzles,Mechanical puzzles
Walking in Astoria Parks,Walking in Astoria Parks
4‑H projects,4‑H projects
Organizing community health fairs,Organizing community health fairs
Reading motivational biographies,Reading motivational biographies
Volunteer teaching art classes,"Volunteer teaching art classes, Volunteer Art‑Education Workshops"
Meditation for anxiety management,Meditation for anxiety management
Biking around Brooklyn,Biking around Brooklyn
Family cooking during Lunar New Year,Family cooking during Lunar New Year
Polynesian Dance & Drumming,Polynesian Dance & Drumming
Scratch game design,Scratch game design
Coffee shop socializing,Coffee shop socializing
Photography collection,Photography collection
Digital tools learning,Digital tools learning
Playing with shape sorters,Playing with shape sorters
Hosting weekly BBQ gatherings,Hosting weekly BBQ gatherings
Morning Walks in Nature Reserves,"Morning Walks in Nature Reserves, Early‑morning nature walks"
Walking in quiet neighborhoods,Walking in quiet neighborhoods
Exploring Coosa County nature trails and photography,Exploring Coosa County nature trails and photography
Experimental herb cooking,Experimental herb cooking
school theater and drama,"school theater and drama, acting in school drama"
Birdwatching and native plant identification,Birdwatching and native plant identification
playing guitar in a folk band,"playing guitar in a folk band, Playing guitar and singing folk songs"
Tinkering with truck telematics,Tinkering with truck telematics
Self-improvement books,Self-improvement books
participating in group games like hide‑and‑seek,participating in group games like hide‑and‑seek
Road trips to the Smokies,Road trips to the Smokies
Experimental photography,Experimental photography
Reading culinary and self‑improvement books,Reading culinary and self‑improvement books
Handcrafted Décor,Handcrafted Décor
Hiking in the American River Trail,Hiking in the American River Trail
Classical Indian and Western Music Appreciation,Classical Indian and Western Music Appreciation
Community garden mentorship,Community garden mentorship
"Playing construction simulation video games (e.g., Cities: Skylines)","Playing construction simulation video games (e.g., Cities: Skylines)"
College Basketball Fan,College Basketball Fan
Salsa and bomba music,"Salsa and bomba music, Listening to salsa and bomba music, Salsa and bomba dancing"
exploring the nearby bayou,"exploring the nearby bayou, exploring bayou trails, bayou exploration"
Reading science and environmental books,Reading science and environmental books
Hiking the North Shore,Hiking the North Shore
"Food preservation (jams, jellies, specialty breads)","Food preservation (jams, jellies, specialty breads)"
Cooking Southern cuisine with a health‑focused twist,Cooking Southern cuisine with a health‑focused twist
Rattles and musical toys,Rattles and musical toys
Reading classic Spanish literature and art criticism,Reading classic Spanish literature and art criticism
Reading (horticulture and modern art),Reading (horticulture and modern art)
Blues Music,"Blues Music, blues music"
short hikes on beach trails,"short hikes on beach trails, Short hiking and beach walks"
Reading science fiction and poetry,Reading science fiction and poetry
Volunteering at neighborhood block parties and charity events,"Volunteering at neighborhood block parties and charity events, Neighborhood block‑party volunteering"
Juneteenth celebrations,Juneteenth celebrations
Hiking in Michigan state parks,Hiking in Michigan state parks
Reading speculative and environmental science fiction,Reading speculative and environmental science fiction
learning sustainable living practices,learning sustainable living practices
Photography workshops,Photography workshops
Creating animations with Scratch,"Creating animations with Scratch, Scratch animation, digital animation (Scratch)"
Community Art Outreach Programs,Community Art Outreach Programs
Reading historical fiction and Peruvian literature,Reading historical fiction and Peruvian literature
Philosophy contemplation,Philosophy contemplation
Watching classic sitcoms,Watching classic sitcoms
Chamber music concerts,Chamber music concerts
Urban exploring,Urban exploring
Bridge Tournaments,Bridge Tournaments
Playing bouzouki informally,Playing bouzouki informally
Birdwatching in Balboa Park,Birdwatching in Balboa Park
Contemporary Art Exploration,Contemporary Art Exploration
Reading non‑fiction on finance and social issues,Reading non‑fiction on finance and social issues
Wildflower cultivation for pollinators,Wildflower cultivation for pollinators
Participating in Clinton County fair’s Tools of the Trade exhibit,Participating in Clinton County fair’s Tools of the Trade exhibit
Volunteer yoga instruction,Volunteer yoga instruction
Reading Non-fiction on Indigenous Cultures,"Reading Non-fiction on Indigenous Cultures, Reading non-fiction about cultural history"
Financial literacy workshops,"Financial literacy workshops, Teaching Financial Literacy Workshops, Volunteer financial literacy workshops for teens"
Listening to rock/metal music,Listening to rock/metal music
Cooking soul‑food and fusion dishes,Cooking soul‑food and fusion dishes
Model car building,Model car building
Attending Minnesota Twins baseball games,Attending Minnesota Twins baseball games
Interactive music and button toys,Interactive music and button toys
Philosophy Discussion Groups,"Philosophy Discussion Groups, Philosophy discussion groups"
Traveling to Spain,Traveling to Spain
Singing Spanish children’s songs,"Singing Spanish children’s songs, listening to Spanish children’s songs"
Soccer (Liga MX),"Soccer (Liga MX), Following Liga MX soccer"
Local bingo tournaments,"Local bingo tournaments, bingo tournaments"
Hiking the C&O Canal Trail,Hiking the C&O Canal Trail
Listening to instrumental Latin guitar music,Listening to instrumental Latin guitar music
"DIY Home Craft Projects (Quilting, Knitting)","DIY Home Craft Projects (Quilting, Knitting)"
Jazz music appreciation,"Jazz music appreciation, Jazz appreciation, Classical and jazz music appreciation"
Beadwork and basket weaving,Beadwork and basket weaving
Attending public lectures and seminars,Attending public lectures and seminars
Drawing mechanical sketches,Drawing mechanical sketches
Environmental club activities,Environmental club activities
Volunteer river clean‑up,Volunteer river clean‑up
Playing recreational cricket,"Playing recreational cricket, Cricket (playing and watching)"
Side‑project coding,Side‑project coding
Scratch visual programming,Scratch visual programming
Following stock market news,Following stock market news
"Beach activities (sandcastle building, shell collecting)","Beach activities (sandcastle building, shell collecting), collecting shells and building sandcastles at the beach"
Cycling around Boston Harbor and Dorchester neighborhoods,Cycling around Boston Harbor and Dorchester neighborhoods
hearing grandparents' stories,hearing grandparents' stories
Traveling on spontaneous weekend getaways,"Traveling on spontaneous weekend getaways, weekend travel getaways, Spontaneous weekend trips"
Chess and dominoes,Chess and dominoes
Volunteer Archival Work at Library,Volunteer Archival Work at Library
Walking the Boston Harborwalk,Walking the Boston Harborwalk
Exploring online forums about unconventional ideas and emerging art,Exploring online forums about unconventional ideas and emerging art
Cooing and vocal play,Cooing and vocal play
Volunteering at Rawlins Legal Aid Clinic,Volunteering at Rawlins Legal Aid Clinic
Historical Photography,Historical Photography
Watching cultural documentaries,Watching cultural documentaries
Attending senior walking/exercise groups,Attending senior walking/exercise groups
Digital photography (landscapes and street scenes),Digital photography (landscapes and street scenes)
Street mural painting,Street mural painting
Custom Furniture Building,"Custom Furniture Building, Custom furniture building"
Storytelling for school cultural events,Storytelling for school cultural events
Chess with friends,Chess with friends
Reading Gujarati literature,Reading Gujarati literature
Sketching (abstract and surreal themes),"Sketching (abstract and surreal themes), Digital illustration and surreal sketching"
Playing guitar (rock and Latin jazz),"Playing guitar (rock and Latin jazz), Playing guitar in a Latin‑jazz group"
Fishing at the Pecos River,Fishing at the Pecos River
Coding simple games and Arduino projects,Coding simple games and Arduino projects
Reading popular science on neuroscience,Reading popular science on neuroscience
Traveling to historic sites with small group tours,"Traveling to historic sites with small group tours, Small-group historic tours"
"Attending adult‑education classes (pottery, computer basics)","Attending adult‑education classes (pottery, computer basics)"
Digital photo archiving,Digital photo archiving
riding his bike on familiar routes,riding his bike on familiar routes
Backcountry hiking,Backcountry hiking
Volunteering at the Vietnamese cultural center,Volunteering at the Vietnamese cultural center
Beginner‑level yoga,Beginner‑level yoga
fishing on the Platte River,"fishing on the Platte River, Fishing on the North Platte River"
Vintage record collecting,Vintage record collecting
Volunteering (driving safety education),"Volunteering (driving safety education), Community volunteer work (road safety education)"
Reading Spanish‑language Newspaper,Reading Spanish‑language Newspaper
Playing card games like rummy,"Playing card games like rummy, Playing cards (gin rummy, poker)"
Woodworking and DIY repairs,Woodworking and DIY repairs
Pretend kitchen play with family,Pretend kitchen play with family
Attending small cultural gatherings,"Attending small cultural gatherings, Small‑group cultural gatherings"
Urdu poetry,Urdu poetry
Track & field (400‑meter dash),Track & field (400‑meter dash)
Southern cooking classes,"Southern cooking classes, Cooking classes (Southern cuisine)"
Volunteering at Texas African American Museum,Volunteering at Texas African American Museum
Participating in community fairs and 4-H projects,Participating in community fairs and 4-H projects
Exploring historic towns in Ohio,Exploring historic towns in Ohio
Beach walks and gardening,Beach walks and gardening
Chili and herb gardening,"Chili and herb gardening, Gardening (chilies, tomatoes, herbs), Herb and chili gardening, Gardening (herbs and chilies), Gardening tomatoes, chilies, and herbs"
Playing drums in informal jam sessions,Playing drums in informal jam sessions
Garden design,Garden design
Exploring Medical Ethics Literature,Exploring Medical Ethics Literature
listening to Latin folk and children's music,listening to Latin folk and children's music
Fishing at Lake Martin,Fishing at Lake Martin
Community service with local cultural association,Community service with local cultural association
Duck hunting,Duck hunting
Reading picture books with parents,Reading picture books with parents
Weekend softball league,Weekend softball league
Playing jazz piano and synthesizer experimentation,Playing jazz piano and synthesizer experimentation
Following Spanish football (soccer),Following Spanish football (soccer)
Cooking fresh seafood,Cooking fresh seafood
Volunteer neighborhood watch duties,Volunteer neighborhood watch duties
Shooting range practice,Shooting range practice
Collecting vintage eyeglass frames,Collecting vintage eyeglass frames
Reading automotive magazines,Reading automotive magazines
Logic grid puzzles,Logic grid puzzles
Hiking Chesapeake Bay trails,"Hiking Chesapeake Bay trails, Hiking Solo in Chesapeake Bay Area"
"Cooking traditional Ecuadorian dishes (ceviche, empanadas, quinoa salads)","Cooking traditional Ecuadorian dishes (ceviche, empanadas, quinoa salads)"
Playing with pets,Playing with pets
Boy Scouts activities,Boy Scouts activities
Sketching in local parks,Sketching in local parks
Sketching murals and comic panels,"Sketching murals and comic panels, Digital comic sketching"
Experimental cooking and food photography,Experimental cooking and food photography
drawing fantastical creatures,"drawing fantastical creatures, Sketching fantastical creatures, Drawing fantastical creatures"
Sketching mandala patterns,Sketching mandala patterns
Walking on Lindsay Trails,Walking on Lindsay Trails
Experimenting with new digital art applications,Experimenting with new digital art applications
Organizing school supplies and personal space,Organizing school supplies and personal space
Prospect Park Walks,"Prospect Park Walks, Walking in Prospect Park"
Visiting art galleries and experimental installations,Visiting art galleries and experimental installations
Playing cooperative games at preschool,Playing cooperative games at preschool
Drag racing,Drag racing
Surf lessons,Surf lessons
Singing and dancing,"Singing and dancing, Dancing and singing, singing and dancing"
Youth Financial Literacy Mentoring,Youth Financial Literacy Mentoring
Basic Vietnamese language practice with family,Basic Vietnamese language practice with family
Kayaking in Galveston Bay,Kayaking in Galveston Bay
Exploring smart‑farming tech like drones,Exploring smart‑farming tech like drones
Participating in a library book club,"Participating in a library book club, participating in a small library book club"
Mentoring high school students,"Mentoring high school students, Mentoring High School Students, Mentoring High-School Students, Mentoring junior colleagues, Mentoring College Students"
craft fair participation,craft fair participation
Tailgating at high‑school football games,"Tailgating at high‑school football games, College football tailgating"
Experimental electronic music (synth),Experimental electronic music (synth)
Golf (social),Golf (social)
coding simple personal webpages,coding simple personal webpages
Reading science fiction and futurism,Reading science fiction and futurism
Traveling on personal flights,Traveling on personal flights
Kayaking on the Skagit River,Kayaking on the Skagit River
Fishing at the Brandywine Creek,Fishing at the Brandywine Creek
building with interlocking blocks,building with interlocking blocks
Volunteer baking,Volunteer baking
abstract art exhibitions,abstract art exhibitions
Cooking Cantonese cuisine,Cooking Cantonese cuisine
Fishing on Long Island Sound,Fishing on Long Island Sound
Dungeons & Dragons,Dungeons & Dragons
car lining,car lining
"Listening to hip‑hop, jazz, and spoken‑word poetry","Listening to hip‑hop, jazz, and spoken‑word poetry"
Cultural Storytelling,Cultural Storytelling
Knitting circle leadership,Knitting circle leadership
Cooking for Neighbors,Cooking for Neighbors
Leading a monthly drawing circle at the public library,Leading a monthly drawing circle at the public library
"Participating in group games like Duck, Duck, Goose","Participating in group games like Duck, Duck, Goose"
Running along South Beach,Running along South Beach
Visiting River Arts District galleries and studios,Visiting River Arts District galleries and studios
small group arts-and-crafts sessions,small group arts-and-crafts sessions
Socializing with friends and family,"Socializing with friends and family, socializing with peers"
Traveling to tech conferences,Traveling to tech conferences
Experimenting with personal finance apps,"Experimenting with personal finance apps, exploring personal finance software"
Volunteering at the Rhinelander Art Museum,Volunteering at the Rhinelander Art Museum
Fishing at Kerr Lake,Fishing at Kerr Lake
Hosting tea parties and social gatherings,"Hosting tea parties and social gatherings, Volunteer tea parties"
Coloring and mandala drawing,"Coloring and mandala drawing, Drawing mandalas and coloring books"
Cooking Wisconsin regional recipes,Cooking Wisconsin regional recipes
Hiking New England trails,"Hiking New England trails, Hiking in New England, Cycling and hiking in New England, Hiking New England coastal trails"
Weekend Soccer,"Weekend Soccer, Weekend soccer matches"
"dancing to gospel, hip‑hop, and Tejano music","dancing to gospel, hip‑hop, and Tejano music"
"Simple science kits (e.g., volcano eruption)","Simple science kits (e.g., volcano eruption)"
Participating in senior engineering mentorship clubs,Participating in senior engineering mentorship clubs
Learning regional Mexican dialects and folk stories,Learning regional Mexican dialects and folk stories
Small‑group craft projects at school/library,Small‑group craft projects at school/library
Organizing study schedules,Organizing study schedules
"Backyard gardening (chilies, tomatillos, succulents)","Backyard gardening (chilies, tomatillos, succulents)"
Therapeutic garden sessions for seniors,Therapeutic garden sessions for seniors
Participating in an Art‑Focused Book Club,Participating in an Art‑Focused Book Club
Traveling to barrier islands,Traveling to barrier islands
podcasting,podcasting
Quiet observation of family,Quiet observation of family
Nature hikes in the Texas Panhandle,Nature hikes in the Texas Panhandle
Sketching magical creatures,Sketching magical creatures
Casual photography,Casual photography
Attending county fairs and agricultural expos,"Attending county fairs and agricultural expos, Participating in County Fairs"
Playing with toy fire trucks,Playing with toy fire trucks
Hiking in Acadia National Park,"Hiking in Acadia National Park, Hiking in coastal trails and Acadia National Park"
Assisting with simple household tasks,Assisting with simple household tasks
Group play with other children,"Group play with other children, playing with other children in group settings"
Participating in online debate forums,Participating in online debate forums
Productivity & logistics reading,Productivity & logistics reading
Hiking the Ice Age Trail,Hiking the Ice Age Trail
building toys,building toys
Community fair and reenactment participation,Community fair and reenactment participation
tinkering with radios,tinkering with radios
"Dancing (line dancing, African drumming)","Dancing (line dancing, African drumming)"
Hiking in Apalachicola National Forest,Hiking in Apalachicola National Forest
Traditional Chinese cooking workshops,Traditional Chinese cooking workshops
Indie game jam involvement,Indie game jam involvement
Tag and hide‑and‑seek,Tag and hide‑and‑seek
Reading YA novels focused on mental health,Reading YA novels focused on mental health
Attending networking events and meet‑ups,Attending networking events and meet‑ups
Motorcycle riding on Michigan state routes,Motorcycle riding on Michigan state routes
Hiking in Orange County trails,Hiking in Orange County trails
Baseball fandom,Baseball fandom
Reading Urban Planning and Economics Books,Reading Urban Planning and Economics Books
Listening to podcasts on social issues,Listening to podcasts on social issues
Traveling to explore global health traditions,Traveling to explore global health traditions
Weekend hiking on Long Island trails,"Weekend hiking on Long Island trails, Hiking (Long Island trails)"
Pool (billiards),Pool (billiards)
Volunteer health screenings,Volunteer health screenings
Attending Houston Astros games,Attending Houston Astros games
Off‑road ATV riding,Off‑road ATV riding
Playing djembe drums,Playing djembe drums
Church Service Projects,"Church Service Projects, Church services"
Food festival exploration,"Food festival exploration, Exploring local food festivals"
Volunteering at the local library (children’s reading and art workshops),"Volunteering at the local library (children’s reading and art workshops), Volunteering in community arts workshops for children"
Hiking the Camuy cave system,Hiking the Camuy cave system
Racquetball,Racquetball
Attending Small Poetry Readings,Attending Small Poetry Readings
Ham radio operation,Ham radio operation
reading Mexican literature and self-help books,reading Mexican literature and self-help books
Meditation and reflective journaling,Meditation and reflective journaling
watching classic film noir,watching classic film noir
Walking in Oak Park,"Walking in Oak Park, Walking in Oak Mountain State Park"
Soccer and group games,Soccer and group games
Leading a book club,"Leading a book club, Book club leadership"
Attending art fairs and powwows,Attending art fairs and powwows
Listening to 1960s Latin music,Listening to 1960s Latin music
daily trail walks with dog,"daily trail walks with dog, Walking the dog on local trails"
Church potluck volunteering,Church potluck volunteering
Social interaction with caregivers,Social interaction with caregivers
"Digital animation and video editing (Scratch, stop‑motion)","Digital animation and video editing (Scratch, stop‑motion)"
Jazz and R&B music,Jazz and R&B music
Reading leadership non‑fiction,"Reading leadership non‑fiction, Reading Non‑Fiction on Leadership and Culture, Reading Non‑Fiction (Science & Leadership), Non-fiction reading (leadership, systems thinking), Reading Leadership Non‑Fiction"
Organizing community art pop‑ups,Organizing community art pop‑ups
listening to gentle music,listening to gentle music
Volunteer work at senior center craft evenings,Volunteer work at senior center craft evenings
Attending intimate bomba and plena concerts,"Attending intimate bomba and plena concerts, Attending bomba and plena performances"
Avant-Garde Jazz,Avant-Garde Jazz
Attending design meetups,Attending design meetups
Reading contemporary fiction and business innovation books,"Reading contemporary fiction and business innovation books, Reading about business innovation"
"pretend play (mini art gallery, tea parties)","pretend play (mini art gallery, tea parties)"
Volunteer Home Painting,Volunteer Home Painting
Youth club activities,"Youth club activities, youth group activities, Attending youth group activities"
Listening to experimental indie music,Listening to experimental indie music
Volunteering at senior‑center events,"Volunteering at senior‑center events, Volunteering at the senior center (storytelling circle), Volunteering at a senior center (bus safety workshops), Senior volunteer event coordination"
Crossword puzzles and brain teasers,"Crossword puzzles and brain teasers, Solving puzzles and brain teasers"
soft ball play with parent,soft ball play with parent
Craft cocktail mixing,Craft cocktail mixing
Marksmanship,Marksmanship
Reading science‑fiction and engineering documentaries,Reading science‑fiction and engineering documentaries
Volunteer Firefighting,Volunteer Firefighting
mindfulness breathing,"mindfulness breathing, Mindfulness breathing, Practicing mindfulness breathing"
Reading leadership and self-improvement books,"Reading leadership and self-improvement books, Reading self-improvement and leadership books"
Reading science‑fiction and tech podcasts,"Reading science‑fiction and tech podcasts, Reading tech news and science podcasts"
"Photography (cars, beaches)","Photography (cars, beaches)"
"Exploring nature (shell collecting, crab watching)","Exploring nature (shell collecting, crab watching)"
Urban and concert photography,Urban and concert photography
Listening to gospel music,"Listening to gospel music, Gospel music listening, listening to gospel music"
Learning French,Learning French
Listening to and playing Caribbean music (cuatro),Listening to and playing Caribbean music (cuatro)
Fishing on the Intracoastal Waterway,Fishing on the Intracoastal Waterway
Science-fiction graphic novels and comics,Science-fiction graphic novels and comics
Hiking and snow‑boarding,Hiking and snow‑boarding
Creative writing retreats,Creative writing retreats
Reading historical and family memoirs,"Reading historical and family memoirs, Reading historical fiction and genealogy research"
Model airplane building,"Model airplane building, model airplane building"
Reading Civil War and Appalachian history,"Reading Civil War and Appalachian history, Reading Appalachian history"
Touching soft fabrics and plush toys,Touching soft fabrics and plush toys
Volunteering at Somerville Food Bank,Volunteering at Somerville Food Bank
Minecraft and creative video games,Minecraft and creative video games
Watching LSU football,Watching LSU football
Wood‑turning,Wood‑turning
Crocheting blankets for hospital donations,Crocheting blankets for hospital donations
Trivia nights at cafés,Trivia nights at cafés
Hiking in Sacramento parks,Hiking in Sacramento parks
visiting indie breweries,visiting indie breweries
Hiking the trails around Portage County,Hiking the trails around Portage County
Binge-watching TV series,"Binge-watching TV series, binge‑watching streaming series"
Art tutoring for youth,Art tutoring for youth
playing peek‑a‑boom,playing peek‑a‑boom
Women’s craft circle (knitting and pottery),Women’s craft circle (knitting and pottery)
"Digital literacy (photography, video calls)","Digital literacy (photography, video calls)"
singing familiar songs,singing familiar songs
Cooking (experimental BBQ),Cooking (experimental BBQ)
"Organizing cultural events (Diwali, film nights)","Organizing cultural events (Diwali, film nights), Organizing Diwali and Cultural Events"
Bike tinkering,Bike tinkering
assembling wooden puzzles,"assembling wooden puzzles, simple wooden puzzles"
Photography of Long Island shoreline,Photography of Long Island shoreline
DIY Assistive Technology Projects,DIY Assistive Technology Projects
Singing in school choir,Singing in school choir
Puerto Rican music and dance festivals,Puerto Rican music and dance festivals
Following Dallas Mavericks and Texas Rangers,Following Dallas Mavericks and Texas Rangers
Viewing high‑contrast picture books,"Viewing high‑contrast picture books, Watching high‑contrast picture books"
Building Duplo blocks,"Building Duplo blocks, building with Duplo blocks"
Watercolor studies en plein air,Watercolor studies en plein air
